	学号		语文	数学	英语	物理	化学	总分
	00000001	75	76	77	83	75	386
	00000002	78	77	75	77	75	382
	00000003	78	76	78	77	74	383
	00000004	76	76	76	75	74	377
	00000005	76	74	72	72	75	369
	00000006	83	72	75	79	78	387
	00000007	74	86	72	76	74	382
	00000008	75	75	76	73	78	377
	00000009	78	79	79	76	81	393
	00000010	72	75	70	83	85	385
	00000011	76	73	81	75	73	378
	00000012	84	80	79	75	72	390
	00000013	71	73	81	75	79	379
	00000014	71	78	79	82	81	391
	00000015	75	76	69	75	79	374
	00000016	76	83	78	72	85	394
	00000017	82	71	74	77	82	386
	00000018	80	65	80	78	75	378
	00000019	77	81	75	78	82	393
	00000020	75	76	80	76	72	379
	00000021	74	77	80	76	73	380
	00000022	77	76	74	82	83	392
	00000023	86	78	79	82	73	398
	00000024	77	77	75	74	78	381
	00000025	78	75	66	75	76	370
	00000026	76	76	75	77	76	380
	00000027	69	70	75	74	82	370
	00000028	70	81	76	77	78	382
	00000029	78	77	86	78	85	404
	00000030	75	83	72	76	74	380
	00000031	65	81	66	75	76	363
	00000032	75	79	71	80	78	383
	00000033	83	76	78	68	75	380
	00000034	79	80	78	75	76	388
	00000035	72	83	76	82	78	391
	00000036	69	73	73	79	78	372
	00000037	79	82	81	70	74	386
	00000038	77	80	80	73	79	389
	00000039	66	78	85	78	71	378
	00000040	76	66	76	77	71	366
	00000041	78	79	76	83	72	388
	00000042	73	77	73	82	75	380
	00000043	71	77	80	76	79	383
	00000044	75	80	77	77	75	384
	00000045	78	75	79	73	71	376
	00000046	76	71	75	76	74	372
	00000047	78	74	79	83	75	389
	00000048	73	76	76	73	79	377
	00000049	74	78	74	78	73	377
	00000050	78	77	73	78	72	378
	00000051	82	78	74	73	74	381
	00000052	78	72	74	76	77	377
	00000053	77	77	74	77	81	386
	00000054	72	79	71	78	78	378
	00000055	77	76	76	75	80	384
	00000056	77	75	79	77	74	382
	00000057	74	79	82	76	79	390
	00000058	80	73	84	77	71	385
	00000059	76	75	82	79	76	388
	00000060	77	74	77	72	79	379
	00000061	75	74	74	68	75	366
	00000062	79	80	75	79	76	389
	00000063	75	82	79	77	80	393
	00000064	77	76	76	78	66	373
	00000065	76	79	79	75	77	386
	00000066	74	79	78	77	77	385
	00000067	75	74	79	78	77	383
	00000068	80	85	84	77	77	403
	00000069	83	79	68	78	75	383
	00000070	76	78	78	77	72	381
	00000071	77	76	76	73	78	380
	00000072	73	76	74	78	78	379
	00000073	77	77	81	87	78	400
	00000074	65	78	77	70	78	368
	00000075	72	82	78	78	76	386
	00000076	69	87	78	74	69	377
	00000077	77	73	74	72	78	374
	00000078	81	78	73	79	77	388
	00000079	77	74	76	71	75	373
	00000080	81	77	68	77	78	381
	00000081	79	82	74	75	77	387
	00000082	73	82	80	75	79	389
	00000083	76	74	75	81	73	379
	00000084	81	76	78	75	72	382
	00000085	78	80	81	77	76	392
	00000086	83	74	75	66	81	379
	00000087	74	75	72	74	75	370
	00000088	79	73	78	79	81	390
	00000089	66	72	76	74	70	358
	00000090	75	77	78	82	78	390
	00000091	78	60	76	82	81	377
	00000092	73	76	75	75	77	376
	00000093	74	75	81	77	77	384
	00000094	76	80	74	78	75	383
	00000095	78	71	73	74	73	369
	00000096	74	77	78	77	79	385
	00000097	75	77	79	74	79	384
	00000098	70	75	82	75	74	376
	00000099	76	77	79	76	75	383
	00000100	79	80	74	75	71	379
	00000101	75	83	76	71	75	380
	00000102	69	78	75	75	80	377
	00000103	76	73	83	77	74	383
	00000104	83	78	74	72	79	386
	00000105	83	78	78	76	78	393
	00000106	84	75	74	79	69	381
	00000107	80	71	69	69	77	366
	00000108	74	66	75	73	88	376
	00000109	77	72	70	73	79	371
	00000110	69	78	78	82	77	384
	00000111	83	80	73	81	75	392
	00000112	78	79	72	76	76	381
	00000113	80	77	79	75	79	390
	00000114	79	70	72	76	79	376
	00000115	76	74	71	66	77	364
	00000116	78	79	73	75	78	383
	00000117	76	81	75	76	73	381
	00000118	75	78	81	78	72	384
	00000119	71	77	76	83	79	386
	00000120	78	72	74	80	86	390
	00000121	78	73	72	75	75	373
	00000122	76	75	75	73	69	368
	00000123	80	76	76	77	74	383
	00000124	70	78	79	84	77	388
	00000125	68	76	76	73	79	372
	00000126	76	79	72	73	82	382
	00000127	80	78	75	81	77	391
	00000128	73	77	71	78	77	376
	00000129	75	77	75	77	82	386
	00000130	77	75	76	77	79	384
	00000131	80	77	78	75	76	386
	00000132	76	81	77	75	82	391
	00000133	80	81	77	82	69	389
	00000134	77	78	77	79	74	385
	00000135	72	80	77	73	76	378
	00000136	78	84	77	79	78	396
	00000137	81	82	85	77	70	395
	00000138	83	75	74	76	71	379
	00000139	84	77	75	82	77	395
	00000140	77	74	73	80	76	380
	00000141	81	81	83	82	78	405
	00000142	74	79	83	74	83	393
	00000143	75	77	82	75	82	391
	00000144	80	82	71	86	77	396
	00000145	83	76	79	78	75	391
	00000146	74	82	76	74	77	383
	00000147	73	77	75	82	79	386
	00000148	80	78	81	76	76	391
	00000149	71	73	76	74	79	373
	00000150	77	81	79	78	69	384
	00000151	74	76	77	80	81	388
	00000152	80	75	76	78	78	387
	00000153	79	81	79	76	74	389
	00000154	84	79	74	83	72	392
	00000155	79	83	77	75	75	389
	00000156	72	73	76	80	80	381
	00000157	78	78	82	86	83	407
	00000158	78	78	86	76	71	389
	00000159	76	74	68	73	67	358
	00000160	82	80	78	77	80	397
	00000161	73	70	75	74	65	357
	00000162	79	75	81	83	72	390
	00000163	78	76	73	86	73	386
	00000164	74	77	77	81	75	384
	00000165	72	78	78	79	80	387
	00000166	74	74	77	73	73	371
	00000167	71	80	69	73	74	367
	00000168	81	75	72	80	79	387
	00000169	81	78	72	71	77	379
	00000170	82	79	79	76	85	401
	00000171	75	81	73	72	73	374
	00000172	75	77	70	75	74	371
	00000173	76	73	69	79	78	375
	00000174	80	80	80	84	80	404
	00000175	65	77	72	72	82	368
	00000176	79	76	79	79	79	392
	00000177	76	73	81	75	71	376
	00000178	80	74	78	75	73	380
	00000179	77	73	74	77	77	378
	00000180	75	76	71	78	81	381
	00000181	70	74	81	76	74	375
	00000182	77	70	78	70	79	374
	00000183	85	76	73	79	78	391
	00000184	76	77	72	76	73	374
	00000185	81	80	77	75	75	388
	00000186	75	78	78	76	75	382
	00000187	75	75	78	67	77	372
	00000188	83	77	77	76	77	390
	00000189	80	80	80	79	76	395
	00000190	76	78	76	79	72	381
	00000191	79	78	72	78	85	392
	00000192	77	75	78	77	81	388
	00000193	76	80	72	77	78	383
	00000194	70	68	72	74	75	359
	00000195	79	79	77	78	77	390
	00000196	76	75	76	81	77	385
	00000197	72	72	75	78	75	372
	00000198	78	75	77	77	96	403
	00000199	73	69	78	77	77	374
	00000200	76	81	80	77	74	388
	00000201	74	80	74	77	77	382
	00000202	80	79	75	78	78	390
	00000203	75	74	76	81	78	384
	00000204	92	80	82	74	74	402
	00000205	74	75	78	76	78	381
	00000206	80	79	70	77	73	379
	00000207	80	77	73	83	68	381
	00000208	78	82	77	78	83	398
	00000209	75	77	79	77	70	378
	00000210	72	74	75	74	76	371
	00000211	67	80	79	76	83	385
	00000212	76	76	82	76	77	387
	00000213	75	78	77	77	78	385
	00000214	78	81	75	80	78	392
	00000215	72	76	78	70	75	371
	00000216	75	77	76	78	78	384
	00000217	77	69	69	89	75	379
	00000218	74	78	79	75	78	384
	00000219	80	70	80	75	73	378
	00000220	77	75	72	81	77	382
	00000221	74	82	85	76	82	399
	00000222	80	74	63	78	85	380
	00000223	70	73	72	76	73	364
	00000224	81	77	81	74	85	398
	00000225	77	88	81	79	78	403
	00000226	77	76	66	73	78	370
	00000227	70	77	79	77	77	380
	00000228	82	75	69	74	67	367
	00000229	75	78	77	76	79	385
	00000230	77	79	75	77	76	384
	00000231	79	74	78	72	75	378
	00000232	80	76	72	81	82	391
	00000233	74	76	73	76	72	371
	00000234	77	74	80	76	77	384
	00000235	76	70	74	75	76	371
	00000236	75	77	80	78	69	379
	00000237	74	77	78	72	81	382
	00000238	70	69	76	67	74	356
	00000239	76	75	75	80	77	383
	00000240	75	75	71	79	79	379
	00000241	76	75	75	80	77	383
	00000242	77	73	70	77	77	374
	00000243	76	71	81	76	71	375
	00000244	78	76	77	80	76	387
	00000245	72	76	79	85	77	389
	00000246	75	74	73	77	72	371
	00000247	71	74	73	79	76	373
	00000248	71	74	75	79	75	374
	00000249	72	75	76	76	78	377
	00000250	79	73	70	79	77	378
	00000251	69	79	74	80	77	379
	00000252	76	72	79	74	74	375
	00000253	78	78	75	77	79	387
	00000254	72	67	85	76	77	377
	00000255	77	74	78	72	77	378
	00000256	72	80	78	82	72	384
	00000257	82	74	77	79	81	393
	00000258	72	74	73	74	79	372
	00000259	82	76	78	73	81	390
	00000260	74	79	75	75	78	381
	00000261	76	79	67	80	73	375
	00000262	77	76	81	76	76	386
	00000263	79	79	76	70	75	379
	00000264	81	75	74	74	71	375
	00000265	82	76	76	77	79	390
	00000266	83	75	78	82	74	392
	00000267	76	77	74	74	76	377
	00000268	84	79	76	75	75	389
	00000269	74	72	76	76	76	374
	00000270	77	79	76	81	76	389
	00000271	80	75	77	78	75	385
	00000272	79	81	79	78	86	403
	00000273	78	68	73	79	77	375
	00000274	81	73	79	80	74	387
