	学号		语文	数学	英语	物理	化学	总分
	00000001	80	72	68	75	76	371
	00000002	76	70	79	78	73	376
	00000003	81	74	69	79	69	372
	00000004	75	76	73	79	77	380
	00000005	80	80	81	71	78	390
	00000006	76	77	81	80	82	396
	00000007	74	75	75	76	79	379
	00000008	78	80	78	77	74	387
	00000009	75	78	78	72	76	379
	00000010	76	82	71	85	66	380
	00000011	75	77	75	67	74	368
	00000012	76	77	78	73	79	383
	00000013	78	76	79	74	77	384
	00000014	73	70	69	82	65	359
	00000015	78	78	75	77	72	380
	00000016	83	73	75	66	73	370
	00000017	71	79	78	80	74	382
	00000018	75	79	75	80	80	389
	00000019	74	81	75	78	75	383
	00000020	81	77	78	75	76	387
	00000021	80	76	82	75	81	394
	00000022	77	77	72	81	77	384
	00000023	80	73	81	81	78	393
	00000024	81	80	73	77	85	396
	00000025	72	77	77	77	76	379
	00000026	85	77	73	71	70	376
	00000027	75	73	78	80	79	385
	00000028	74	79	74	78	76	381
	00000029	72	74	73	76	74	369
	00000030	74	76	79	78	74	381
	00000031	79	76	73	76	76	380
	00000032	86	78	72	76	76	388
	00000033	71	85	67	83	73	379
	00000034	76	75	78	79	74	382
	00000035	80	71	75	82	76	384
	00000036	70	72	73	67	77	359
	00000037	76	80	77	78	79	390
	00000038	78	78	72	77	70	375
	00000039	77	77	81	71	77	383
	00000040	69	70	72	76	80	367
	00000041	75	75	75	77	76	378
	00000042	76	79	79	77	72	383
	00000043	72	76	72	76	76	372
	00000044	76	71	78	79	81	385
	00000045	75	78	74	80	75	382
	00000046	76	84	77	75	76	388
	00000047	77	76	78	79	82	392
	00000048	87	75	77	79	78	396
	00000049	80	71	72	77	67	367
	00000050	72	79	78	71	79	379
	00000051	74	77	74	79	74	378
	00000052	75	78	72	78	82	385
	00000053	79	77	78	76	80	390
	00000054	75	72	77	76	83	383
	00000055	81	80	74	81	79	395
	00000056	78	76	74	75	78	381
	00000057	73	80	77	81	80	391
	00000058	72	84	79	77	78	390
	00000059	66	78	80	78	82	384
	00000060	76	78	81	82	72	389
	00000061	78	80	71	72	77	378
	00000062	77	74	79	80	75	385
	00000063	76	76	83	81	69	385
	00000064	81	79	67	82	71	380
	00000065	78	80	88	72	75	393
	00000066	77	76	74	72	79	378
	00000067	82	77	75	74	84	392
	00000068	80	76	75	79	79	389
	00000069	75	80	82	82	78	397
	00000070	68	71	70	74	84	367
	00000071	71	78	79	74	78	380
	00000072	76	79	76	73	80	384
	00000073	72	75	79	84	75	385
	00000074	70	82	76	88	77	393
	00000075	70	84	78	75	77	384
	00000076	77	75	78	77	75	382
	00000077	77	81	77	71	82	388
	00000078	77	76	77	74	76	380
	00000079	78	77	76	79	78	388
	00000080	81	77	72	82	68	380
	00000081	76	79	79	72	79	385
	00000082	78	71	79	83	78	389
	00000083	74	77	76	74	77	378
	00000084	80	78	75	67	69	369
	00000085	78	79	79	75	75	386
	00000086	76	73	82	83	67	381
	00000087	83	74	78	68	74	377
	00000088	76	77	76	78	74	381
	00000089	74	76	74	73	73	370
	00000090	78	78	70	80	76	382
	00000091	75	74	75	79	77	380
	00000092	71	78	79	75	82	385
	00000093	71	85	79	71	74	380
	00000094	71	75	79	75	78	378
	00000095	80	77	68	73	82	380
	00000096	75	78	73	80	76	382
	00000097	74	74	65	62	70	345
	00000098	77	82	77	81	73	390
	00000099	71	78	76	78	81	384
	00000100	77	88	73	77	80	395
	00000101	71	77	78	78	71	375
	00000102	77	75	79	76	78	385
	00000103	76	75	76	77	76	380
	00000104	75	78	76	72	77	378
	00000105	76	79	70	81	69	375
	00000106	78	84	76	81	78	397
