	学号		语文	数学	英语	物理	化学	总分
	00000001	88	77	79	85	80	409
	00000002	70	77	77	78	78	380
	00000003	83	75	65	75	76	374
	00000004	77	73	75	77	73	375
	00000005	76	75	74	76	75	376
	00000006	78	88	72	78	75	391
	00000007	83	79	77	77	75	391
	00000008	78	82	79	81	67	387
	00000009	74	73	79	76	76	378
	00000010	75	76	81	73	80	385
	00000011	78	74	76	77	76	381
	00000012	77	76	75	75	76	379
	00000013	78	71	78	81	81	389
	00000014	82	80	79	77	74	392
	00000015	68	79	79	82	70	378
	00000016	82	84	77	72	74	389
	00000017	81	77	76	76	76	386
	00000018	74	79	79	76	76	384
	00000019	74	77	80	73	75	379
	00000020	79	75	78	79	75	386
	00000021	77	76	72	79	77	381
	00000022	85	79	82	76	73	395
	00000023	80	76	74	78	76	384
	00000024	81	75	79	83	77	395
	00000025	76	82	74	84	80	396
	00000026	74	78	77	76	92	397
	00000027	81	77	76	74	76	384
	00000028	69	76	76	80	77	378
	00000029	73	76	75	73	80	377
	00000030	74	81	77	75	81	388
	00000031	75	73	69	77	70	364
	00000032	72	76	77	77	79	381
	00000033	81	77	77	87	79	401
	00000034	67	70	74	78	87	376
	00000035	81	73	71	75	71	371
	00000036	77	76	80	78	78	389
	00000037	77	80	76	78	76	387
	00000038	77	80	78	69	83	387
	00000039	72	76	77	80	75	380
	00000040	70	72	71	79	77	369
	00000041	73	74	74	77	76	374
	00000042	77	75	72	81	77	382
	00000043	78	70	82	76	73	379
	00000044	79	81	75	82	77	394
	00000045	81	78	80	70	82	391
	00000046	73	77	77	83	76	386
	00000047	74	78	73	76	79	380
	00000048	65	75	77	78	77	372
	00000049	80	76	73	85	77	391
	00000050	78	78	83	79	83	401
	00000051	74	83	74	77	74	382
	00000052	70	77	67	73	70	357
	00000053	80	78	73	76	77	384
	00000054	76	74	78	78	78	384
	00000055	76	76	76	80	74	382
	00000056	75	79	76	74	80	384
	00000057	84	71	76	83	80	394
	00000058	77	77	83	84	71	392
	00000059	80	78	78	75	81	392
	00000060	75	84	74	74	78	385
	00000061	76	75	75	75	79	380
	00000062	77	80	81	77	75	390
	00000063	81	75	76	81	74	387
	00000064	70	69	70	79	70	358
	00000065	83	73	72	76	73	377
	00000066	76	75	78	84	76	389
	00000067	74	79	78	74	83	388
	00000068	76	72	76	86	75	385
	00000069	76	68	75	74	79	372
	00000070	79	79	76	73	72	379
	00000071	73	76	78	74	77	378
	00000072	74	80	70	72	82	378
	00000073	73	79	76	80	80	388
	00000074	70	74	77	75	75	371
	00000075	73	78	76	79	76	382
	00000076	76	76	76	79	74	381
	00000077	82	78	77	75	76	388
	00000078	77	81	74	79	80	391
	00000079	73	73	81	78	79	384
	00000080	77	78	79	75	80	389
	00000081	73	75	72	76	72	368
	00000082	75	72	82	74	78	381
	00000083	76	74	71	79	78	378
	00000084	73	74	74	77	72	370
	00000085	76	78	75	68	76	373
	00000086	76	75	79	79	78	387
	00000087	74	76	72	77	76	375
	00000088	76	78	77	79	82	392
	00000089	79	75	70	81	71	376
	00000090	87	84	76	79	78	404
	00000091	66	78	75	79	71	369
	00000092	80	83	78	82	73	396
	00000093	77	79	79	85	72	392
	00000094	77	80	71	79	66	373
	00000095	75	73	79	70	80	377
	00000096	79	72	76	76	77	380
	00000097	77	78	76	69	73	373
	00000098	80	78	84	76	76	394
	00000099	81	69	77	72	80	379
	00000100	77	73	76	70	78	374
	00000101	75	82	81	75	74	387
	00000102	81	82	75	76	71	385
	00000103	76	79	80	78	76	389
	00000104	72	76	76	77	76	377
	00000105	75	74	75	73	74	371
	00000106	76	74	78	79	74	381
	00000107	71	76	78	76	73	374
	00000108	73	83	78	81	76	391
	00000109	71	79	80	76	79	385
	00000110	78	77	81	75	72	383
	00000111	77	76	74	79	75	381
	00000112	75	74	77	87	80	393
	00000113	72	76	68	78	76	370
	00000114	70	77	76	74	78	375
	00000115	92	76	70	75	79	392
	00000116	74	78	74	70	84	380
	00000117	80	80	82	79	77	398
	00000118	75	78	76	76	78	383
	00000119	77	78	76	74	77	382
	00000120	82	84	79	75	82	402
	00000121	80	77	72	76	75	380
	00000122	77	79	77	73	77	383
