	学号		语文	数学	英语	物理	化学	总分
	00000001	68	79	76	76	72	371
	00000002	73	78	78	72	78	379
	00000003	78	76	76	78	77	385
	00000004	73	73	73	76	69	364
	00000005	80	74	77	80	75	386
	00000006	74	76	72	76	80	378
	00000007	77	78	69	72	75	371
	00000008	74	89	78	77	75	393
	00000009	77	76	77	76	74	380
	00000010	79	78	77	74	81	389
	00000011	71	79	77	76	75	378
	00000012	79	77	75	81	77	389
	00000013	76	63	67	74	80	360
	00000014	78	69	78	78	75	378
	00000015	76	78	77	79	93	403
	00000016	78	78	73	79	77	385
	00000017	74	76	80	75	72	377
	00000018	74	73	72	73	75	367
	00000019	72	78	74	73	82	379
	00000020	75	79	78	77	74	383
	00000021	72	76	61	77	81	367
	00000022	83	81	75	76	73	388
	00000023	77	76	76	77	76	382
	00000024	78	80	80	76	77	391
	00000025	77	79	78	77	79	390
	00000026	77	72	78	75	77	379
	00000027	74	75	76	74	77	376
	00000028	78	77	74	74	76	379
	00000029	84	68	77	74	76	379
	00000030	85	74	75	80	74	388
	00000031	75	76	79	78	76	384
	00000032	75	78	80	74	78	385
	00000033	76	74	75	77	77	379
	00000034	72	74	75	79	80	380
	00000035	75	79	75	78	79	386
	00000036	75	74	77	85	80	391
	00000037	78	76	75	77	77	383
	00000038	77	75	75	78	81	386
	00000039	71	84	75	75	73	378
	00000040	76	72	75	76	79	378
	00000041	82	81	79	78	79	399
	00000042	75	77	78	76	75	381
	00000043	75	73	84	75	75	382
	00000044	77	79	79	73	83	391
	00000045	74	81	76	76	71	378
	00000046	73	75	77	76	79	380
	00000047	75	78	78	75	71	377
	00000048	70	72	71	78	84	375
	00000049	81	72	71	76	80	380
	00000050	76	78	81	72	68	375
	00000051	77	84	75	75	74	385
	00000052	68	69	82	80	77	376
	00000053	78	71	79	78	78	384
	00000054	79	74	75	73	80	381
	00000055	74	76	75	73	71	369
	00000056	69	72	84	75	79	379
	00000057	75	77	83	74	71	380
	00000058	76	82	72	73	77	380
	00000059	85	83	73	77	80	398
	00000060	74	77	80	75	75	381
	00000061	84	89	81	76	77	407
	00000062	80	77	78	76	78	389
	00000063	79	77	71	77	75	379
	00000064	75	81	73	76	76	381
	00000065	76	71	76	72	84	379
	00000066	70	77	75	77	76	375
	00000067	75	77	73	71	81	377
	00000068	76	77	78	79	87	397
	00000069	71	78	76	77	77	379
	00000070	79	79	84	77	78	397
	00000071	77	85	71	78	76	387
	00000072	77	75	76	74	78	380
	00000073	78	79	79	73	81	390
	00000074	85	75	81	75	74	390
	00000075	84	69	72	73	78	376
	00000076	80	75	76	73	75	379
	00000077	78	84	78	77	76	393
	00000078	76	76	82	77	81	392
	00000079	73	75	83	77	74	382
	00000080	76	76	78	76	75	381
	00000081	77	79	79	78	76	389
	00000082	76	73	76	79	83	387
	00000083	75	72	70	73	78	368
	00000084	75	74	86	83	74	392
	00000085	77	78	77	76	75	383
	00000086	76	77	77	82	83	395
	00000087	73	77	86	76	81	393
	00000088	81	76	83	76	76	392
	00000089	80	76	75	71	78	380
	00000090	78	72	76	76	71	373
	00000091	73	80	75	79	68	375
	00000092	76	74	74	63	78	365
	00000093	74	77	76	76	73	376
	00000094	75	86	74	76	83	394
	00000095	74	83	74	80	77	388
	00000096	78	76	78	77	76	385
	00000097	79	78	76	80	78	391
	00000098	69	78	72	72	79	370
